"row","salience_main","consideration_main","salience_sensitivity","consideration_sensitivity"
"URM Directory Treatment","1.68*** (0.19)","1.57*** (0.20)","1.70*** (0.18)","1.59*** (0.19)"
"Directory Control","2.00*** (0.19)","1.94*** (0.20)","1.94*** (0.19)","1.87*** (0.20)"
"Constant","2.68*** (0.14)","2.87*** (0.14)","2.71*** (0.13)","2.88*** (0.14)"
"Observations","554","554","599","599"
"R-squared","0.184","0.159","0.177","0.151"
"Adjusted R-squared","0.181","0.156","0.175","0.149"
"Treatment - Directory Control","-0.32","-0.37","-0.23","-0.29"
"Contrast standard error","0.19","0.20","0.19","0.20"
"95% confidence interval","[-0.70, 0.06]","[-0.77, 0.03]","[-0.60, 0.13]","[-0.67, 0.10]"
"Wald F","2.69","3.28","1.57","2.14"
"Wald p",".101",".071",".211",".144"
