seminar_id,university,discipline,department,condition
95f835-0ffd71-af,Arizona State University,Computer Science,Arizona State University-Computer Science,treatment
1a6095-3dd388-72,Auburn University,Mathematics,Auburn University-Mathematics,control
9f0f10-9218b6-47,Baylor University,Physics,Baylor University-Physics,control
cf7b37-0d72c8-22,Binghamton University,Mathematics,Binghamton University-Mathematics,control
09b6b2-b03245-76,Boston College,Mathematics,Boston College-Mathematics,control
97048e-ee239f-fb,Boston University,Computer Science,Boston University-Computer Science,treatment
cb2b2d-912256-62,Brown University,Physics,Brown University-Physics,treatment
6e2d3d-f65eaa-4f,California Institute of Technology,Physics,California Institute of Technology-Physics,control
b805ea-26b29f-15,Carnegie Mellon University,Mathematics,Carnegie Mellon University-Mathematics,treatment
5f30ba-40b69c-e6,Case Western Reserve University,Computer Science,Case Western Reserve University-Computer Science,treatment
7b0e63-d58ad7-8c,Case Western Reserve University,Computer Science,Case Western Reserve University-Computer Science,treatment
088e2b-7801ee-c0,Clemson University,Mechanical Engineering,Clemson University-Mechanical Engineering,treatment
5812ca-2c5bdd-ba,Clemson University,Physics,Clemson University-Physics,control
936047-ffa5fb-ed,Clemson University,Computer Science,Clemson University-Computer Science,control
982bbb-b3e980-34,Clemson University,Physics,Clemson University-Physics,control
de3943-43921d-23,Clemson University,Mathematics,Clemson University-Mathematics,treatment
e01218-7c4ea7-78,Clemson University,Mechanical Engineering,Clemson University-Mechanical Engineering,treatment
8d3837-0ee3fa-79,Colorado State University,Mathematics,Colorado State University-Mathematics,treatment
a7a2be-4366d4-82,Colorado State University,Mathematics,Colorado State University-Mathematics,treatment
150266-c746ca-a9,Columbia University,Computer Science,Columbia University-Computer Science,treatment
283111-027304-9a,Columbia University,Mathematics,Columbia University-Mathematics,treatment
3afcd3-ba2836-d5,Columbia University,Mathematics,Columbia University-Mathematics,treatment
4a4862-279a18-72,Columbia University,Computer Science,Columbia University-Computer Science,treatment
cebadc-dbe099-4c,Columbia University,Mathematics,Columbia University-Mathematics,treatment
504cc0-16bec9-50,Cornell University,Physics,Cornell University-Physics,control
9dfc3d-e02114-c7,Cornell University,Computer Science,Cornell University-Computer Science,control
c58155-16d461-92,Cornell University,Physics,Cornell University-Physics,control
02adab-fbecf1-62,Dartmouth College,Mathematics,Dartmouth College-Mathematics,treatment
98d306-642ad6-08,Drexel University,Mechanical Engineering,Drexel University-Mechanical Engineering,treatment
37dc5e-c3be8f-2f,Florida State University,Physics,Florida State University-Physics,control
3fb6dd-7502fe-84,George Washington University,Mathematics,George Washington University-Mathematics,control
afc242-173044-7a,Georgia Institute of Technology,Chemistry,Georgia Institute of Technology-Chemistry,treatment
755421-d45fdf-4e,"Graduate Center, CUNY",Mathematics,"Graduate Center, CUNY-Mathematics",treatment
a806c0-927eb0-c9,Indiana University Bloomington,Chemistry,Indiana University Bloomington-Chemistry,control
e9ac3c-1f074a-37,Indiana University Bloomington,Mathematics,Indiana University Bloomington-Mathematics,treatment
fe30b3-5064d0-f8,Indiana University Bloomington,Mathematics,Indiana University Bloomington-Mathematics,treatment
4e0ddc-5a1282-e1,Iowa State University,Mathematics,Iowa State University-Mathematics,control
df5e71-67d4c9-ef,Iowa State University,Mathematics,Iowa State University-Mathematics,control
195a10-8498ad-fc,Johns Hopkins University,Chemistry,Johns Hopkins University-Chemistry,control
a4714d-75c127-2e,Kansas State University,Mathematics,Kansas State University-Mathematics,treatment
1aa59d-5a8f72-b6,Kent State University,Mathematics,Kent State University-Mathematics,control
96c414-37e233-ec,Kent State University,Mathematics,Kent State University-Mathematics,control
80161b-5a3c6b-18,Massachusetts Institute of Technology,Mechanical Engineering,Massachusetts Institute of Technology-Mechanical Engineering,treatment
a695c2-495355-e5,North Carolina State University,Mathematics,North Carolina State University-Mathematics,treatment
57f459-14eb89-28,North Dakota State University,Mathematics,North Dakota State University-Mathematics,treatment
d43aad-441877-87,North Dakota State University,Computer Science,North Dakota State University-Computer Science,control
0440cb-2db6c1-41,Northeastern University,Computer Science,Northeastern University-Computer Science,treatment
1b64f0-f5a9ad-6d,Ohio State University,Mathematics,Ohio State University-Mathematics,treatment
f25749-5e8965-25,Ohio State University,Physics,Ohio State University-Physics,treatment
8fe7da-2930c6-1b,Old Dominion University,Mathematics,Old Dominion University-Mathematics,control
013a53-eb8d4a-88,Oregon State University,Computer Science,Oregon State University-Computer Science,control
930bcf-5d8cd3-b3,Oregon State University,Mechanical Engineering,Oregon State University-Mechanical Engineering,treatment
202caa-2379f3-c4,Pennsylvania State University,Mathematics,Pennsylvania State University-Mathematics,control
a49036-090587-5e,Pennsylvania State University,Mathematics,Pennsylvania State University-Mathematics,control
e9e5b5-0581cd-31,Pennsylvania State University,Mathematics,Pennsylvania State University-Mathematics,control
486360-65bd85-02,Purdue University,Computer Science,Purdue University-Computer Science,treatment
b8c357-72f1c3-d6,Rice University,Mathematics,Rice University-Mathematics,treatment
5c24ca-98952b-a3,Rutgers University-New Brunswick,Mathematics,Rutgers University-New Brunswick-Mathematics,control
6c0daf-86198b-d4,Rutgers University-New Brunswick,Physics,Rutgers University-New Brunswick-Physics,control
755de0-b9a967-a0,Rutgers University-New Brunswick,Physics,Rutgers University-New Brunswick-Physics,control
94dccd-adb6ce-92,Rutgers University-New Brunswick,Physics,Rutgers University-New Brunswick-Physics,control
d2c7d2-9a80c2-3c,Rutgers University-New Brunswick,Physics,Rutgers University-New Brunswick-Physics,control
d56a7f-3834a1-6b,Rutgers University-New Brunswick,Chemistry,Rutgers University-New Brunswick-Chemistry,treatment
e99937-4b7861-69,Rutgers University-New Brunswick,Computer Science,Rutgers University-New Brunswick-Computer Science,treatment
f9856d-6195a4-9e,Rutgers University-New Brunswick,Physics,Rutgers University-New Brunswick-Physics,control
623420-d5d1fe-25,Stony Brook University,Mathematics,Stony Brook University-Mathematics,control
760332-8ee2a2-41,Stony Brook University,Physics,Stony Brook University-Physics,treatment
bd6503-c3c782-bd,Stony Brook University,Mathematics,Stony Brook University-Mathematics,control
c137dd-f6685f-cd,Stony Brook University,Mathematics,Stony Brook University-Mathematics,control
e5029e-18ce25-1a,Stony Brook University,Chemistry,Stony Brook University-Chemistry,control
e9ba2d-ebc5f3-dd,Stony Brook University,Mathematics,Stony Brook University-Mathematics,control
6e3f25-d35359-18,Temple University,Physics,Temple University-Physics,treatment
92f339-e8dfcc-61,Temple University,Physics,Temple University-Physics,treatment
494171-68c9dc-85,Texas A&M University,Mathematics,Texas A&M University-Mathematics,treatment
f7f774-fcc47c-89,Texas A&M University,Mathematics,Texas A&M University-Mathematics,treatment
b108e7-4d62ab-cf,Tulane University,Mathematics,Tulane University-Mathematics,treatment
ea5f4f-5f2e0e-6b,Tulane University,Mathematics,Tulane University-Mathematics,treatment
6311fc-eb6ed6-6c,"University at Albany, SUNY",Chemistry,"University at Albany, SUNY-Chemistry",treatment
b3ca7a-d3cc7d-4f,"University at Albany, SUNY",Physics,"University at Albany, SUNY-Physics",treatment
a74ca3-1b760b-60,University at Buffalo,Computer Science,University at Buffalo-Computer Science,control
f44e8e-66bf2a-bd,University of Arizona,Physics,University of Arizona-Physics,control
34dd9d-8e97cf-3d,University of Arkansas,Physics,University of Arkansas-Physics,control
511b18-d892cb-6c,University of Arkansas,Mathematics,University of Arkansas-Mathematics,treatment
eacfa3-71199d-c9,University of Arkansas,Physics,University of Arkansas-Physics,control
2f6dff-5a4583-1e,"University of California, Berkeley",Mathematics,"University of California, Berkeley-Mathematics",treatment
47a370-167ac7-35,"University of California, Berkeley",Physics,"University of California, Berkeley-Physics",control
5f9ed9-74bac3-07,"University of California, Berkeley",Mathematics,"University of California, Berkeley-Mathematics",treatment
9be8e9-d6e229-4f,"University of California, Berkeley",Mathematics,"University of California, Berkeley-Mathematics",treatment
bda41e-48efda-01,"University of California, Berkeley",Chemistry,"University of California, Berkeley-Chemistry",treatment
dd7334-458c7f-db,"University of California, Berkeley",Chemistry,"University of California, Berkeley-Chemistry",treatment
ee0a31-db9a9c-6a,"University of California, Berkeley",Mathematics,"University of California, Berkeley-Mathematics",treatment
fc2602-4ed799-0d,"University of California, Berkeley",Chemistry,"University of California, Berkeley-Chemistry",treatment
f3d223-0a4f74-1b,"University of California, Davis",Physics,"University of California, Davis-Physics",control
3c2ff3-5bb333-57,"University of California, Irvine",Computer Science,"University of California, Irvine-Computer Science",treatment
b99160-7991ca-b4,"University of California, Irvine",Computer Science,"University of California, Irvine-Computer Science",treatment
469d72-769329-27,"University of California, Los Angeles",Physics,"University of California, Los Angeles-Physics",treatment
4d73b4-6ee15b-4a,"University of California, Los Angeles",Physics,"University of California, Los Angeles-Physics",treatment
5b3ff4-5d1e2f-57,"University of California, Los Angeles",Mathematics,"University of California, Los Angeles-Mathematics",control
708963-5df9b4-11,"University of California, Los Angeles",Mathematics,"University of California, Los Angeles-Mathematics",control
b787ec-5b16eb-cb,"University of California, Los Angeles",Chemistry,"University of California, Los Angeles-Chemistry",treatment
cec6f4-9bda2e-c2,"University of California, Los Angeles",Mathematics,"University of California, Los Angeles-Mathematics",control
f44e62-abacc2-1b,"University of California, Los Angeles",Mathematics,"University of California, Los Angeles-Mathematics",control
