utm_campaign,condition,facultyShown,peerCounts
,treatment,"[""Ignacio Franco"",""Christopher Blaszczak-Boxe"",""Diego Alzate-Sanchez"",""Noe T. Alvarez"",""Boniface P. T. Fokwa"",""Victor Garcia Lopez"",""Briana Simms"",""Zakiya Wilson-Kennedy"",""Yolanda A. Small"",""Ampofo K. Darko"",""Luis R. De Jesus Baez"",""Naphtali Oconnor"",""Pere Miro"",""Damilola Daramola"",""Gene Hall"",""Columba De La Parra"",""Tendai Gadzikwa"",""Guillermo Geronanavarro"",""Terefe G. Habteyes"",""Rosina M. Georgiadis"",""Jean Rivera-Rios"",""Carlos E. Crespo-Hernandez"",""Carlos E. Manzanares"",""Carlos D. Garcia Perez"",""Malika Jeffriesel"",""Samuel G. Awuah"",""Daniel A. Scherson"",""Jeanluc Ayitou"",""Marcelo I. Guzman"",""Arturo Vegas"",""Thiago Monteiro Araujo Dos Santos"",""Wayne Harding"",""Mariana Torrente"",""Daniel Kuroda"",""Alfredo Angeles-Boza"",""Maria Contel"",""Mande Holford""]","[""University of Oregon"",""University of Rochester"",""Boston University"",""Brandeis University"",""Rutgers University-New Brunswick"",""Tufts University"",""University of Iowa"",""University of Kansas"",""Virginia Tech"",""Baylor University"",""Case Western Reserve University"",""Northeastern University"",""University at Buffalo"",""University of California, Riverside"",""University of Illinois Chicago"",""Oregon State University"",""University of Connecticut"",""University of Houston"",""Wayne State University"",""Colorado School of Mines"",""Temple University"",""University of California, Santa Cruz"",""University of South Carolina"",""University of Tennessee"",""Clemson University"",""Graduate Center, CUNY"",""Kansas State University"",""Louisiana State University"",""Syracuse University"",""University of Cincinnati"",""University of Kentucky"",""University of Nebraska-Lincoln"",""University of New Mexico"",""Washington State University"",""Auburn University"",""Binghamton University"",""Georgetown University"",""Tulane University"",""University of Alabama"",""University of Missouri""]"
,treatment,"[""Jennifer Dubois"",""Christian Agatemor"",""Gerardo Gamez"",""Tendai Gadzikwa"",""Maria Contel"",""Noe T. Alvarez"",""Wayne Harding"",""Tobi Odeleye"",""Christopher Blaszczak-Boxe"",""Candice Bridge"",""Briana Simms"",""Guillermo Geronanavarro"",""Aleeta M. Powe"",""Mande Holford"",""Rabi Ann Musah"",""Zakiya Wilson-Kennedy"",""Lakeisha Mcclary"",""Suazette Reid Mooring"",""Carlos D. Garcia Perez"",""Karin Chumbimunitorres"",""Terefe G. Habteyes"",""Daniel Kuroda"",""Columba De La Parra"",""Samuel G. Awuah"",""Frederick A. Luzzio"",""Erik A. Rodriguez"",""Jorge A. Morales"",""Yolanda A. Small"",""Ampofo K. Darko"",""Victor Garcia Lopez"",""Marcelo I. Guzman"",""Naphtali Oconnor"",""Mariana Torrente""]","[""Rensselaer Polytechnic Institute"",""Temple University"",""University of California, Santa Cruz"",""University of South Carolina"",""University of Tennessee"",""Clemson University"",""Graduate Center, CUNY"",""Kansas State University"",""Louisiana State University"",""Syracuse University"",""University of Cincinnati"",""University of Kentucky"",""University of Nebraska-Lincoln"",""University of New Mexico"",""Washington State University"",""Auburn University"",""Binghamton University"",""Georgetown University"",""Tulane University"",""University of Alabama"",""George Washington University"",""Georgia State University"",""Montana State University"",""Texas Tech University"",""University at Albany, SUNY"",""University of Maryland, Baltimore County"",""University of Miami"",""University of Oklahoma"",""West Virginia University"",""Drexel University"",""Ohio University"",""Oklahoma State University-Stillwater"",""University of Central Florida"",""University of Louisville"",""University of New Hampshire"",""University of South Florida"",""University of Texas at Dallas"",""University of Texas at San Antonio"",""Utah State University"",""Virginia Commonwealth University""]"
HT-3176bdcd-20ba-456f-b646-3b12557fe53a,treatment,,
HT-f2cd31ae-520d-4c3b-8f5f-26416c89a566,treatment,"[""Raphael F. Ribeiro"",""Adegboyega Yomi Oyelere"",""Nadia G. Leonard"",""Stephen Maldonado"",""Melissa Ramirez"",""Edgar A. Arriaga"",""Jose A. Rodriguez"",""Kevin D. Walker"",""Squire J. Booker"",""Joaquin Rodriguez-Lopez"",""Ivan A. Moreno-Hernandez"",""Isaac Garcia Bosch"",""Sidney Wilkersonhill"",""Francesco Evangelista"",""Gustavo Scuseria"",""Samson A. Jenekhe"",""Gabriel Gomes"",""Laura M.K. Dassama"",""Robert J. Gilliard Jr."",""Luisa Whittakerbrooks"",""Monica Olvera De La Cruz"",""Theodore Goodson III"",""Oleta Johnson"",""Stefan France""]","[""California Institute of Technology"",""Massachusetts Institute of Technology"",""Harvard University"",""Stanford University"",""Northwestern University"",""Princeton University"",""University of Chicago"",""University of Illinois Urbana-Champaign"",""Columbia University"",""Cornell University"",""Yale University"",""University of Michigan"",""University of Wisconsin-Madison"",""University of California, Los Angeles"",""University of North Carolina at Chapel Hill"",""University of Pennsylvania"",""University of Texas at Austin"",""Georgia Institute of Technology"",""Johns Hopkins University"",""Ohio State University"",""University of California, San Diego"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of Washington"",""Duke University"",""Purdue University"",""Rice University"",""Texas A&M University"",""University of Colorado Boulder"",""University of Minnesota"",""Emory University"",""Pennsylvania State University"",""University of Florida"",""University of Utah"",""Carnegie Mellon University"",""Indiana University Bloomington"",""University of California, Davis"",""Michigan State University"",""University of Pittsburgh"",""University of Virginia""]"
HT-20f38fc8-138b-4034-a7cd-c51e4809205f,treatment,,
HT-d88913c8-32e4-40de-abb6-525fc39cc94c,treatment,,
HT-e6e00018-4392-43ff-88ea-2d58337218db,treatment,"[""Lakeisha Mcclary"",""Suazette Reid Mooring"",""Karin Chumbimunitorres"",""Christian Agatemor"",""Ana De Bettencourt-Dias"",""Sara Casado Zapico"",""Paul Adams"",""Tobi Odeleye"",""Jorge A. Morales"",""Samuel Odoh"",""Daniel Afosah"",""Candice Bridge"",""Ramon Lopez De La Vega"",""Francisco Alberto Fernandez-Lima"",""Erik A. Rodriguez"",""Aleeta M. Powe"",""Omowunmi Sadik"",""Mosissa Fayissa"",""Rabi Ann Musah"",""Kayunta Johnson-Winters"",""Natalia Soares Quinete"",""Elizabeth Duran"",""Edgardo Farinas"",""Jennifer Dubois"",""Gerardo Gamez"",""Frederick A. Luzzio"",""Virginia Montiel-Palma"",""Colleen Scott""]","[""Tulane University"",""University of Alabama"",""University of Missouri"",""George Washington University"",""Georgia State University"",""Montana State University"",""Texas Tech University"",""University at Albany, SUNY"",""University of Maryland, Baltimore County"",""University of Miami"",""University of Oklahoma"",""West Virginia University"",""Drexel University"",""Ohio University"",""Oklahoma State University-Stillwater"",""University of Central Florida"",""University of Louisville"",""University of New Hampshire"",""University of South Florida"",""University of Texas at Dallas"",""Utah State University"",""Virginia Commonwealth University"",""New Jersey Institute of Technology"",""University of Alabama at Birmingham"",""University of Mississippi"",""University of Nevada, Reno"",""University of Texas at Arlington"",""University of Wisconsin-Milwaukee"",""Mississippi State University"",""University of Alabama in Huntsville"",""University of Colorado Denver"",""University of Arkansas"",""University of Denver"",""University of Montana"",""University of North Texas"",""University of Hawaii at Manoa"",""University of Texas at El Paso"",""Florida International University"",""George Mason University"",""North Dakota State University""]"
HT-b96a40d6-1d5f-476c-9591-906600cfbc4b,treatment,"[""Luis R. De Jesus Baez"",""Columba De La Parra"",""Terefe G. Habteyes"",""Thiago Monteiro Araujo Dos Santos"",""Wayne Harding"",""Jorge A. Morales"",""Jennifer Dubois"",""Marcelo I. Guzman"",""Briana Simms"",""Erik A. Rodriguez"",""Mande Holford"",""Ampofo K. Darko"",""Zakiya Wilson-Kennedy"",""Damilola Daramola"",""Tendai Gadzikwa"",""Diego Alzate-Sanchez"",""Christopher Blaszczak-Boxe"",""Guillermo Geronanavarro"",""Daniel Kuroda"",""Tobi Odeleye"",""Alfredo Angeles-Boza"",""Carlos D. Garcia Perez"",""Rabi Ann Musah"",""Lakeisha Mcclary"",""Carlos E. Manzanares"",""Boniface P. T. Fokwa"",""Daniel A. Scherson"",""Christian Agatemor"",""Suazette Reid Mooring"",""Jeanluc Ayitou"",""Samuel G. Awuah"",""Carlos E. Crespo-Hernandez"",""Gerardo Gamez"",""Yolanda A. Small"",""Naphtali Oconnor"",""Victor Garcia Lopez"",""Noe T. Alvarez"",""Mariana Torrente"",""Maria Contel""]","[""Baylor University"",""Case Western Reserve University"",""Northeastern University"",""University at Buffalo"",""University of California, Riverside"",""University of Illinois Chicago"",""Oregon State University"",""University of Connecticut"",""University of Houston"",""Wayne State University"",""Colorado School of Mines"",""Rensselaer Polytechnic Institute"",""Temple University"",""University of California, Santa Cruz"",""University of South Carolina"",""University of Tennessee"",""Clemson University"",""Graduate Center, CUNY"",""Kansas State University"",""Louisiana State University"",""University of Cincinnati"",""University of Kentucky"",""University of Nebraska-Lincoln"",""University of New Mexico"",""Washington State University"",""Auburn University"",""Binghamton University"",""Georgetown University"",""Tulane University"",""University of Alabama"",""University of Missouri"",""George Washington University"",""Georgia State University"",""Montana State University"",""Texas Tech University"",""University at Albany, SUNY"",""University of Maryland, Baltimore County"",""University of Miami"",""University of Oklahoma"",""West Virginia University""]"
HT-8247f2b1-2338-4fec-afbe-630443d094bc,treatment,"[""Pere Miro"",""Carlos E. Crespo-Hernandez"",""Carlos D. Garcia Perez"",""Ampofo K. Darko"",""Damilola Daramola"",""Zakiya Wilson-Kennedy"",""Boniface P. T. Fokwa"",""Phil Castellano"",""Sharon L. Neal"",""Victor Garcia Lopez"",""Tendai Gadzikwa"",""Luis R. De Jesus Baez"",""Emil Hernandez-Pagan"",""Yolanda A. Small"",""Terefe G. Habteyes"",""Ignacio Franco"",""Thiago Monteiro Araujo Dos Santos"",""Columba De La Parra"",""Diego Alzate-Sanchez"",""Guillermo Geronanavarro"",""Mande Holford"",""Noe T. Alvarez"",""Mariana Torrente"",""Briana Simms"",""Gene Hall"",""Rosina M. Georgiadis"",""Daniel A. Scherson"",""Carlos E. Manzanares"",""Alfredo Angeles-Boza"",""Malika Jeffriesel"",""Samuel G. Awuah"",""Christopher Blaszczak-Boxe"",""Gregory H. Robinson"",""Marcelo I. Guzman"",""Arturo Vegas"",""Jean Rivera-Rios"",""Daniel Kuroda"",""Wayne Harding"",""Elon Ison"",""Jocelyn Alcantara-Garcia"",""Naphtali Oconnor"",""Maria Contel""]","[""Dartmouth College"",""Florida State University"",""North Carolina State University"",""Stony Brook University"",""University of Delaware"",""University of Georgia"",""University of Oregon"",""University of Rochester"",""Boston University"",""Brandeis University"",""Rutgers University-New Brunswick"",""Tufts University"",""University of Iowa"",""University of Kansas"",""Virginia Tech"",""Baylor University"",""Case Western Reserve University"",""Northeastern University"",""University at Buffalo"",""University of California, Riverside"",""Oregon State University"",""University of Connecticut"",""University of Houston"",""Wayne State University"",""Colorado School of Mines"",""Rensselaer Polytechnic Institute"",""Temple University"",""University of California, Santa Cruz"",""University of South Carolina"",""University of Tennessee"",""Clemson University"",""Graduate Center, CUNY"",""Kansas State University"",""Louisiana State University"",""Syracuse University"",""University of Cincinnati"",""University of Kentucky"",""University of Nebraska-Lincoln"",""University of New Mexico"",""Washington State University""]"
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,treatment,"[""Stefan France"",""Raphael F. Ribeiro"",""Nadia G. Leonard"",""Edgar A. Arriaga"",""Sidney Wilkersonhill"",""Adegboyega Yomi Oyelere"",""Melissa Ramirez"",""Squire J. Booker"",""Theodore Goodson III"",""Jose A. Rodriguez"",""Ivan A. Moreno-Hernandez"",""Joaquin Rodriguez-Lopez"",""Richmond Sarpong"",""Isaac Garcia Bosch"",""Monica Olvera De La Cruz"",""Francesco Evangelista"",""Laura M.K. Dassama"",""Samson A. Jenekhe"",""Gabriel Gomes"",""Carlos J. Bustamante"",""Kevin D. Walker"",""Luisa Whittakerbrooks"",""Gustavo Scuseria"",""Stephen Maldonado"",""Robert J. Gilliard Jr."",""Oleta Johnson""]","[""California Institute of Technology"",""Massachusetts Institute of Technology"",""University of California, Berkeley"",""Harvard University"",""Stanford University"",""Northwestern University"",""Princeton University"",""University of Chicago"",""University of Illinois Urbana-Champaign"",""Columbia University"",""Cornell University"",""Yale University"",""University of Michigan"",""University of California, Los Angeles"",""University of North Carolina at Chapel Hill"",""University of Pennsylvania"",""University of Texas at Austin"",""Georgia Institute of Technology"",""Johns Hopkins University"",""Ohio State University"",""University of California, San Diego"",""University of California, Irvine"",""University of California, Santa Barbara"",""University of Washington"",""Duke University"",""Purdue University"",""Rice University"",""Texas A&M University"",""University of Colorado Boulder"",""University of Minnesota"",""Emory University"",""Pennsylvania State University"",""University of Florida"",""University of Utah"",""Carnegie Mellon University"",""Indiana University Bloomington"",""University of California, Davis"",""Michigan State University"",""University of Pittsburgh"",""University of Virginia""]"
