recipient_id,seminar_id,condition
HT-3176bdcd-20ba-456f-b646-3b12557fe53a,b02679-21eb6a-dc,treatment
HT-3176bdcd-20ba-456f-b646-3b12557fe53a,48de1f-38d33a-5f,treatment
HT-3176bdcd-20ba-456f-b646-3b12557fe53a,e598e0-8c3363-03,treatment
HT-3176bdcd-20ba-456f-b646-3b12557fe53a,35dd3e-ffece6-a3,treatment
HT-f2cd31ae-520d-4c3b-8f5f-26416c89a566,cb9070-f7eef8-b9,treatment
HT-f2cd31ae-520d-4c3b-8f5f-26416c89a566,7f5a3e-6c8a60-66,treatment
HT-f2cd31ae-520d-4c3b-8f5f-26416c89a566,bda41e-48efda-01,treatment
HT-f2cd31ae-520d-4c3b-8f5f-26416c89a566,8e1801-de6ab3-fd,treatment
HT-f2cd31ae-520d-4c3b-8f5f-26416c89a566,77b599-a812cf-88,treatment
HT-f2cd31ae-520d-4c3b-8f5f-26416c89a566,ca272f-0d6565-fb,treatment
HT-f2cd31ae-520d-4c3b-8f5f-26416c89a566,c1e7be-7dff0d-b8,treatment
HT-f2cd31ae-520d-4c3b-8f5f-26416c89a566,f663e2-cb5cc5-57,treatment
HT-f2cd31ae-520d-4c3b-8f5f-26416c89a566,676015-5ae8ab-a6,treatment
HT-f2cd31ae-520d-4c3b-8f5f-26416c89a566,19711a-a99c34-9a,treatment
HT-f2cd31ae-520d-4c3b-8f5f-26416c89a566,fc2602-4ed799-0d,treatment
HT-f2cd31ae-520d-4c3b-8f5f-26416c89a566,1a7a33-ad8f63-ba,treatment
HT-f2cd31ae-520d-4c3b-8f5f-26416c89a566,dd7334-458c7f-db,treatment
HT-f2cd31ae-520d-4c3b-8f5f-26416c89a566,e0d5ca-21e936-43,treatment
HT-20f38fc8-138b-4034-a7cd-c51e4809205f,33fc23-5ce873-c6,treatment
HT-d88913c8-32e4-40de-abb6-525fc39cc94c,0b98ab-7656c6-1d,treatment
HT-d88913c8-32e4-40de-abb6-525fc39cc94c,5cc631-34546c-44,treatment
HT-e6e00018-4392-43ff-88ea-2d58337218db,d94c99-68ccbb-9b,treatment
HT-b96a40d6-1d5f-476c-9591-906600cfbc4b,11de47-300d27-53,treatment
HT-8247f2b1-2338-4fec-afbe-630443d094bc,52cf29-787554-8e,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,e07029-756bcc-d6,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,076f84-2e12fe-78,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,90731d-d7251d-93,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,09b181-e94a8e-ed,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,f29f15-bc17c7-05,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,146216-51dccc-9e,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,595aec-31aac3-db,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,553a90-4681b5-ef,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,e07029-756bcc-d6,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,076f84-2e12fe-78,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,90731d-d7251d-93,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,09b181-e94a8e-ed,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,f29f15-bc17c7-05,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,146216-51dccc-9e,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,595aec-31aac3-db,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,553a90-4681b5-ef,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,e07029-756bcc-d6,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,076f84-2e12fe-78,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,90731d-d7251d-93,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,09b181-e94a8e-ed,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,f29f15-bc17c7-05,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,146216-51dccc-9e,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,595aec-31aac3-db,treatment
HT-c73ec7d7-ed70-4958-b1d8-a59792af5012,553a90-4681b5-ef,treatment
HT-19ad273a-14f1-4bbe-84f7-b4fc499262aa,2ff8fc-f22539-04,treatment
HT-fb6c2746-dd29-456e-b29e-7d4e33f5daea,1fa975-3356fd-4d,treatment
HT-c777b57a-fad0-4dc0-89a0-affa3b754c44,e00233-07d0ce-1c,treatment
HT-c777b57a-fad0-4dc0-89a0-affa3b754c44,7f6800-e75ee8-e0,treatment
HT-c777b57a-fad0-4dc0-89a0-affa3b754c44,96a32d-1bc325-b2,treatment
HT-5b6506fc-c511-487c-8286-136054e92b11,b7bafc-074bbd-f3,treatment
HT-5b6506fc-c511-487c-8286-136054e92b11,b2406c-f92ce3-46,treatment
HT-0e211978-46c9-441b-b6cd-6e41ae2c9b35,def1f6-769030-df,treatment
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,b75943-28abc3-cf,treatment
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,e7c653-15527b-3a,treatment
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,a9c94f-989de5-4e,treatment
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,6c5d31-7dac92-04,treatment
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,b75943-28abc3-cf,treatment
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,e7c653-15527b-3a,treatment
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,a9c94f-989de5-4e,treatment
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,6c5d31-7dac92-04,treatment
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,b75943-28abc3-cf,treatment
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,e7c653-15527b-3a,treatment
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,a9c94f-989de5-4e,treatment
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,6c5d31-7dac92-04,treatment
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,b75943-28abc3-cf,treatment
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,e7c653-15527b-3a,treatment
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,a9c94f-989de5-4e,treatment
HT-196caa19-c9cb-4e8d-9376-c0cbfcb7aac0,6c5d31-7dac92-04,treatment
HT-1d35487e-f7a4-46ab-a24e-c901f8317750,e2fa90-c6f241-92,treatment
HT-1d35487e-f7a4-46ab-a24e-c901f8317750,6c431e-f4ccca-a5,treatment
HT-1d35487e-f7a4-46ab-a24e-c901f8317750,7c7b8d-c9f1a9-d8,treatment
HT-1d35487e-f7a4-46ab-a24e-c901f8317750,e2fa90-c6f241-92,treatment
HT-1d35487e-f7a4-46ab-a24e-c901f8317750,6c431e-f4ccca-a5,treatment
HT-1d35487e-f7a4-46ab-a24e-c901f8317750,7c7b8d-c9f1a9-d8,treatment
HT-1d35487e-f7a4-46ab-a24e-c901f8317750,e2fa90-c6f241-92,treatment
HT-1d35487e-f7a4-46ab-a24e-c901f8317750,6c431e-f4ccca-a5,treatment
HT-1d35487e-f7a4-46ab-a24e-c901f8317750,7c7b8d-c9f1a9-d8,treatment
HT-1d35487e-f7a4-46ab-a24e-c901f8317750,e2fa90-c6f241-92,treatment
HT-1d35487e-f7a4-46ab-a24e-c901f8317750,6c431e-f4ccca-a5,treatment
HT-1d35487e-f7a4-46ab-a24e-c901f8317750,7c7b8d-c9f1a9-d8,treatment
HT-67c0f912-79a2-48f3-9cdc-1882f1cf4a7e,d4bf73-266067-af,treatment
HT-3ac158b1-3d21-43cc-be1f-07c607ad54f5,9a0854-d090f0-23,treatment
HT-234c60f8-9911-4b59-b33a-ef26a0df24d5,c1a20f-c969f0-35,treatment
HT-234c60f8-9911-4b59-b33a-ef26a0df24d5,621dd3-751cc2-b1,treatment
HT-234c60f8-9911-4b59-b33a-ef26a0df24d5,ef3641-707959-29,treatment
HT-234c60f8-9911-4b59-b33a-ef26a0df24d5,a692bb-accbaf-38,treatment
HT-1d35487e-f7a4-46ab-a24e-c901f8317750,e2fa90-c6f241-92,treatment
HT-1d35487e-f7a4-46ab-a24e-c901f8317750,6c431e-f4ccca-a5,treatment
HT-1d35487e-f7a4-46ab-a24e-c901f8317750,7c7b8d-c9f1a9-d8,treatment
HT-4353c061-6308-42aa-92dc-4c1030a3c3a9,e1b7fc-8956dd-b1,treatment
HT-4353c061-6308-42aa-92dc-4c1030a3c3a9,dbd0f5-f5a008-99,treatment
