University,Department,Total Faculty Count (2024-2025),"URM (Black, Latino, NativeAmerican) Faculty Count (2024-2025)",Black Faculty Count,Hispanic/Latino Faculty Count,Women Faculty Count (2024-2025)
Baylor University,Mathematics,22,0,0,0,1
Colorado School of Mines,Physics,18,0,0,0,1
University of Houston,Computer Science,28,1,0,1,1
University of Utah,Mathematics,47,1,0,1,8
Johns Hopkins University,Mechanical Engineering,28,2,2,0,7
Dartmouth College,Mathematics,26,2,1,1,7
Kent State University,Mathematics,24,1,0,1,5
Rice University,Physics,41,2,0,2,7
Columbia University,Physics,37,3,0,3,7
University of South Florida,Mechanical Engineering,23,2,0,2,3
University of Virginia,Mathematics,34,0,0,0,9
University of Colorado Boulder,Mathematics,24,2,1,1,7
University of Iowa,Computer Science,22,3,0,3,1
University of Pittsburgh,Computer Science,24,1,0,1,4
Kent State University,Physics,25,0,0,0,5
University of Washington,Physics,51,5,0,5,11
New York University,Mathematics,68,0,0,0,9
Carnegie Mellon University,Mathematics,36,2,1,1,3
University of Michigan,Physics,57,2,0,2,14
University of Louisiana at Lafayette,Mathematics,25,2,1,1,5
Texas A&M University,Mathematics,73,1,0,1,12
"University at Albany, SUNY",Mathematics,27,0,0,0,4
Auburn University,Computer Science,27,3,3,0,3
North Carolina State University,Mathematics,55,1,0,1,12
Rensselaer Polytechnic Institute,Computer Science,31,2,1,1,6
Tufts University,Mathematics,22,2,1,1,6
University of Cincinnati,Mathematics,34,1,0,1,12
Michigan State University,Computer Science,40,0,0,0,7
University of Pennsylvania,Mathematics,27,2,1,1,5
Arizona State University,Chemistry,64,2,0,2,13
Georgia Institute of Technology,Computer Science,147,6,0,2,42
"Graduate Center, CUNY",Mathematics,108,4,0,4,17
University of Missouri,Chemistry,23,0,0,0,5
Virginia Tech,Physics,43,0,0,0,7
University of Hawaii at Manoa,Physics,20,0,0,0,4
University of Michigan,Computer Science,107,6,1,1,23
University of Minnesota,Mathematics,68,0,0,0,11
Princeton University,Mathematics,12,0,0,0,2
Drexel University,Mathematics,21,0,0,0,6
"University of California, Davis",Physics,48,1,0,1,11
Stanford University,Mathematics,28,0,0,0,3
"University of California, San Diego",Mathematics,70,0,0,0,17
Wayne State University,Chemistry,24,0,0,0,7
"University of Maryland, College Park",Mechanical Engineering,45,3,2,1,6
Colorado School of Mines,Chemistry,19,0,0,0,5
"University of Maryland, College Park",Mathematics,60,3,2,1,5
New Jersey Institute of Technology,Physics,22,2,1,1,1
"Graduate Center, CUNY",Mechanical Engineering,15,0,0,0,3
"University of California, Riverside",Chemistry,46,1,1,0,9
Harvard University,Chemistry,26,0,0,0,6
University of North Carolina at Chapel Hill,Chemistry,41,1,1,0,12
University of Southern California,Physics,25,0,0,0,5
University of Connecticut,Mathematics,38,0,0,0,7
Clemson University,Chemistry,24,1,0,1,4
Case Western Reserve University,Chemistry,15,1,0,1,4
Old Dominion University,Mathematics,24,1,1,0,4
Texas Tech University,Mathematics,46,2,1,1,10
Ohio University,Chemistry,21,1,1,0,5
Massachusetts Institute of Technology,Mathematics,50,1,0,1,5
Temple University,Mathematics,20,1,0,1,4
University of Houston,Mathematics,49,0,0,0,8
Florida State University,Chemistry,33,0,0,0,6
Stony Brook University,Physics,74,7,0,7,11
University of Notre Dame,Mathematics,37,1,0,1,7
Brown University,Mathematics,20,1,0,1,4
University at Buffalo,Mathematics,29,0,0,0,6
Johns Hopkins University,Physics,46,3,1,2,9
Texas Tech University,Computer Science,20,1,1,0,4
Mississippi State University,Chemistry,18,3,1,2,4
Michigan State University,Chemistry,45,1,1,0,14
University of Texas at Austin,Physics,14,3,0,3,5
University of Chicago,Mathematics,34,3,0,3,3
Iowa State University,Chemistry,25,0,0,0,5
Kansas State University,Physics,26,0,0,0,1
Brown University,Computer Science,39,0,0,0,10
University of Tennessee,Mathematics,40,2,0,2,8
Case Western Reserve University,Computer Science,23,0,0,0,4
University of Cincinnati,Chemistry,8,0,0,0,2
Purdue University,Physics,6,1,0,1,0
Case Western Reserve University,Physics,20,0,0,0,4
University of Southern Mississippi,Mechanical Engineering,11,1,1,0,3
Oregon State University,Physics,16,0,0,0,6
University of Florida,Mathematics,19,1,0,1,3
Wayne State University,Physics,25,1,0,0,4
Colorado State University,Chemistry,31,1,0,0,12
University of Chicago,Physics,49,1,1,3,11
Cornell University,Physics,17,1,0,0,2
University of Texas at Arlington,Chemistry,22,1,1,3,6
University of Denver,Physics,7,0,0,0,2
University of Memphis,Physics,10,1,1,0,1
University of Colorado Denver,Mathematics,11,0,0,0,2
Duke University,Mathematics,35,0,0,0,7
Boston University,Mathematics,39,1,0,0,6
Baylor University,Physics,18,2,0,0,3
Texas A&M University,Mechanical Engineering,78,3,0,0,15
California Institute of Technology,Physics,49,1,1,1,7
Colorado State University,Computer Science,27,1,1,1,4
North Carolina State University,Mechanical Engineering,53,4,5,0,11
University of Texas at El Paso,Mathematics,27,5,2,11,5
Cornell University,Mathematics,44,2,0,2,7
Temple University,Physics,20,1,0,1,4
Florida State University,Computer Science,29,0,0,0,3
University of Texas at Dallas,Mechanical Engineering,40,2,1,3,9
Columbia University,Mathematics,31,0,0,0,6
California Institute of Technology,Computer Science,32,0,0,0,7
New York University,Physics,41,1,0,0,7
Cornell University,Computer Science,66,2,2,2,16
Colorado State University,Physics,22,0,0,0,5
University of Miami,Physics,18,0,0,0,2
"University of California, Riverside",Mechanical Engineering,31,0,0,0,4
University of Oregon,Computer Science,19,0,0,0,4
George Mason University,Mechanical Engineering,16,3,3,1,5
Utah State University,Physics,18,0,0,0,1
University of Texas at Arlington,Mathematics,28,2,0,1,8
"University of California, Irvine",Computer Science,54,2,1,1,10
University of Memphis,Mathematics,22,2,3,0,4
Carnegie Mellon University,Chemistry,24,2,1,2,5
University of Arizona,Physics,36,1,0,6,6
Northeastern University,Physics,55,2,0,3,11
"University of California, Santa Barbara",Mechanical Engineering,31,1,1,0,8
Auburn University,Mathematics,43,2,2,0,9
Rutgers University,New Brunswick-Physics,7,0,0,0,1
Tulane University,Mathematics,23,1,0,1,4
University of Tennessee,Computer Science,8,0,0,0,1
University at Buffalo,Mechanical Engineering,29,0,0,0,6
University of Colorado Boulder,Physics,56,2,0,0,10
Brandeis University,Computer Science,16,0,0,0,6
University of North Texas,Chemistry,18,2,0,1,4
University of Rochester,Mechanical Engineering,29,0,0,0,8
Rice University,Computer Science,30,2,0,5,5
University of Michigan,Mathematics,52,2,0,0,12
University of Denver,Mathematics,13,1,0,1,2
Wayne State University,Mechanical Engineering,13,2,2,0,1
Clemson University,Mechanical Engineering,34,2,0,0,4
Montana State University,Chemistry,17,1,0,0,6
Florida International University,Mathematics,31,3,0,1,7
Boston University,Computer Science,39,0,0,0,11
University of Texas at San Antonio,Mathematics,25,6,0,9,7
Texas A&M University,Chemistry,43,1,0,3,12
University of Arizona,Mechanical Engineering,42,1,0,1,5
"University at Albany, SUNY",Chemistry,15,0,0,0,1
Mississippi State University,Mathematics,21,0,0,0,5
University of Louisville,Mathematics,23,0,0,0,4
Iowa State University,Mathematics,28,0,0,0,3
University of South Carolina,Mathematics,31,1,0,0,5
Clemson University,Computer Science,41,3,1,2,10
Rutgers University,New Brunswick-Mechanical Engineering,36,3,0,3,3
Ohio University,Physics,25,2,0,2,6
Louisiana State University,Physics,47,2,1,5,10
University of Central Florida,Mathematics,39,0,0,0,4
University of Chicago,Computer Science,54,0,0,0,11
Stanford University,Chemistry,26,2,0,1,6
Ohio State University,Mathematics,80,5,0,1,10
Cornell University,Chemistry,31,1,0,1,6
University of Massachusetts Amherst,Mathematics,45,2,0,1,12
"University of Nevada, Las Vegas",Physics,20,0,0,0,2
West Virginia University,Mechanical Engineering,30,3,0,10,1
University of Florida,Physics,45,1,1,3,6
George Mason University,Mathematics,31,1,1,1,7
Carnegie Mellon University,Computer Science,36,2,2,0,11
Ohio State University,Chemistry,52,4,0,0,13
Boston University,Physics,37,1,0,0,5
"University of California, Irvine",Mechanical Engineering,39,0,0,0,11
Stony Brook University,Chemistry,35,2,0,0,8
Emory University,Chemistry,27,2,3,2,7
Georgia Institute of Technology,Mechanical Engineering,110,5,0,0,20
New Jersey Institute of Technology,Mathematics,45,1,0,1,9
University of Louisville,Computer Science,18,0,0,0,2
California Institute of Technology,Mathematics,20,0,0,0,3
Mississippi State University,Physics,19,0,0,0,3
"University of California, Los Angeles",Physics,58,1,0,1,9
University of Oklahoma,Mathematics,35,2,0,2,6
University of Wisconsin-Madison,Mathematics,58,4,0,4,11
University of Texas at Dallas,Mathematics,31,1,0,1,3
Columbia University,Mechanical Engineering,17,2,2,0,4
Harvard University,Mechanical Engineering,15,0,0,0,3
"University of California, Davis",Mathematics,51,3,0,1,11
University of Wisconsin-Madis,Chemistry,39,0,0,0,10
Princeton University,Mechanical Engineering,30,2,2,0,9
Brown University,Physics,28,1,0,1,4
University of Virginia,Physics,33,2,0,2,5
Rensselaer Polytechnic Institute,Chemistry,11,0,0,0,2
"University of California, Santa Barbara",Chemistry,43,4,1,3,11
University of Cincinnati,Mechanical Engineering,26,0,0,0,4
University of Washington,Computer Science,80,1,0,1,18
Pennsylvania State University,Physics,55,2,0,2,12
Florida State University,Physics,52,4,3,0,8
University of South Florida,Computer Science,36,4,4,0,7
Rice University,Chemistry,28,2,0,2,5
Pennsylvania State University,Chemistry,59,4,2,0,14
University of New Hampshire,Physics,23,2,0,2,7
"University of California, Berkeley",Chemistry,52,3,1,2,14
Duke University,Computer Science,31,0,0,0,8
