university,physics_rank,chemistry_rank,math_rank,cs_rank,me_rank,general_rank,missing_physics,missing_chemistry,missing_math,missing_cs,missing_me
Arizona State University,50,47,56,46,43,85,0,0,0,0,0
Auburn University,103,96,81,85,67,80,0,0,0,0,0
Baylor University,93,70,103,81,109,81,0,0,0,1,0
Binghamton University,121,97,104,93,99,67,0,0,0,0,0
Boston College,73,54,67,39,39,39,0,0,0,1,1
Boston University,38,63,57,47,54,43,0,0,0,0,0
Brandeis University,67,64,63,102,57,57,0,0,0,0,1
Brown University,33,48,14,27,37,9,0,0,0,0,0
California Institute of Technology,3,1,8,13,3,7,0,0,0,0,0
Carnegie Mellon University,28,36,20,1,11,24,0,0,0,0,0
Case Western Reserve University,55,71,82,77,51,51,0,0,0,0,0
Clemson University,68,86,87,86,59,76,0,0,0,0,0
Colorado School of Mines,78,80,106,78,55,70,0,0,0,0,0
Colorado State University,79,49,88,94,77,108,0,0,0,0,0
Columbia University,9,10,11,12,32,12,0,0,0,0,0
Cornell University,7,11,15,6,9,13,0,0,0,0,0
Dartmouth College,57,55,58,51,70,18,0,0,0,0,0
Drexel University,94,111,100,87,60,83,0,0,0,0,0
Duke University,29,26,16,21,29,8,0,0,0,0,0
Emory University,58,32,52,65,25,25,0,0,0,0,1
Florida International University,140,137,95,103,135,95,0,0,1,0,0
Florida State University,51,56,74,79,110,52,0,0,0,0,0
George Mason University,108,138,91,66,87,87,0,0,0,0,1
George Washington University,109,102,92,73,71,62,0,0,0,0,0
Georgetown University,80,98,22,72,22,22,0,0,1,0,1
Georgia Institute of Technology,21,19,21,7,5,33,0,0,0,0,0
Georgia State University,116,103,123,104,127,127,0,0,0,0,1
"Graduate Center, CUNY",56,87,44,111,117,86,0,0,0,0,0
Harvard University,4,4,3,17,27,3,0,0,0,0,0
Indiana University Bloomington,52,37,35,52,68,68,0,0,0,0,1
Iowa State University,59,50,75,67,46,90,0,0,0,0,0
Johns Hopkins University,13,20,23,24,15,10,0,0,0,0,0
Kansas State University,87,88,93,105,100,113,0,0,0,0,0
Kent State University,122,145,124,128,128,128,0,0,0,0,1
Louisiana State University,74,89,68,112,111,119,0,0,0,0,0
Massachusetts Institute of Technology,1,2,1,2,1,2,0,0,0,0,0
Michigan State University,35,39,50,57,52,58,0,0,0,0,0
Mississippi State University,127,128,138,119,112,124,0,0,0,0,0
Montana State University,110,104,125,137,136,141,0,0,0,0,0
New Jersey Institute of Technology,117,122,107,88,92,77,0,0,0,0,0
New York University,30,51,9,28,78,35,0,0,0,0,0
North Carolina State University,69,57,53,53,47,59,0,0,0,0,0
North Dakota State University,143,139,142,142,142,133,0,0,0,0,0
Northeastern University,60,72,54,29,48,53,0,0,0,0,0
Northwestern University,22,6,17,30,13,11,0,0,0,0,0
Ohio State University,31,21,28,31,30,44,0,0,0,0,0
Ohio University,95,112,132,120,137,116,0,0,0,0,0
Oklahoma State University-Stillwater,111,113,101,129,90,120,0,0,0,0,0
Old Dominion University,131,140,139,130,126,139,0,0,0,0,0
Oregon State University,104,76,94,74,79,104,0,0,0,0,0
Pennsylvania State University,23,33,38,41,18,60,0,0,0,0,0
Princeton University,5,7,2,10,10,1,0,0,0,0,0
Purdue University,39,27,39,19,8,45,0,0,0,0,0
Rensselaer Polytechnic Institute,61,81,69,68,38,61,0,0,0,0,0
Rice University,24,28,31,32,31,17,0,0,0,0,0
Rutgers University-New Brunswick,32,65,29,43,56,40,0,0,0,0,0
Stanford University,2,5,4,3,2,4,0,0,0,0,0
Stony Brook University,25,58,32,48,72,55,0,0,0,0,0
Syracuse University,62,90,76,80,86,63,0,0,0,0,0
Temple University,96,82,83,95,118,78,0,0,0,0,0
Texas A&M University,47,29,36,49,16,47,0,0,0,0,0
Texas Tech University,123,105,108,131,102,125,0,0,0,0,0
Tufts University,81,66,70,58,61,41,0,0,0,0,0
Tulane University,97,99,77,69,69,69,0,0,0,1,1
"University at Albany, SUNY",128,106,114,113,101,101,0,0,0,0,1
University at Buffalo,88,73,102,62,62,71,0,0,0,0,0
University of Alabama,112,100,96,97,91,114,0,0,0,0,0
University of Alabama at Birmingham,132,123,105,121,129,105,0,0,1,0,0
University of Alabama in Huntsville,118,129,140,138,94,129,0,1,0,0,0
University of Arizona,36,52,45,63,63,91,0,0,0,0,0
University of Arkansas,124,131,115,122,119,117,0,0,0,0,0
"University of California, Berkeley",6,3,5,4,4,15,0,0,0,0,0
"University of California, Davis",40,38,33,36,44,28,0,0,0,0,0
"University of California, Irvine",37,23,37,33,45,34,0,0,0,0,0
"University of California, Los Angeles",17,15,7,14,17,16,0,0,0,0,0
"University of California, Riverside",63,74,71,59,89,72,0,0,0,0,0
"University of California, San Diego",26,22,24,15,28,29,0,0,0,0,0
"University of California, Santa Barbara",10,24,40,34,40,36,0,0,0,0,0
"University of California, Santa Cruz",48,83,78,54,74,74,0,0,0,0,1
University of Central Florida,98,114,118,75,80,96,0,0,0,0,0
University of Chicago,8,8,6,25,14,14,0,0,0,0,1
University of Cincinnati,99,91,109,106,81,106,0,0,0,0,0
University of Colorado Boulder,18,30,51,42,33,88,0,0,0,0,0
University of Colorado Denver,130,130,126,139,130,130,1,1,0,0,0
University of Connecticut,82,77,64,82,64,56,0,0,0,0,0
University of Delaware,75,59,84,76,58,73,0,0,0,0,0
University of Denver,125,132,141,144,131,97,0,0,0,0,0
University of Florida,41,34,59,50,34,30,0,0,0,0,0
University of Georgia,89,60,60,89,103,48,0,0,0,0,0
University of Hawaii at Manoa,105,135,119,114,120,115,0,0,0,0,0
University of Houston,90,78,97,107,82,102,0,0,0,0,0
University of Illinois Chicago,76,75,46,64,73,75,0,0,0,0,0
University of Illinois Urbana-Champaign,11,9,25,5,6,37,0,0,0,0,0
University of Iowa,70,67,61,83,65,82,0,0,0,0,0
University of Kansas,83,68,72,98,104,109,0,0,0,0,0
University of Kentucky,91,92,85,99,95,110,0,0,0,0,0
University of Louisiana at Lafayette,144,144,143,132,144,144,1,1,0,0,1
University of Louisville,133,115,133,123,132,121,0,0,0,0,0
