seminar_id,batch_number
039b0a-0cb93e-f6,9.0
1cde7d-db239d-c7,3.0
21b611-c02b39-a4,6.0
282006-c4871c-c8,1.0
28db97-87a6e9-21,5.0
2e9e13-38c7a5-46,3.0
3efd7d-7da279-ff,5.0
499b04-4182d3-42,3.0
85ccba-102d13-61,5.0
8de565-6743ec-e5,6.0
94de49-8f870a-93,1.0
95f835-0ffd71-af,8.0
e27a25-a9c3be-3c,4.0
e8dbfd-aef077-af,8.0
0d5de8-0d34b8-22,10.0
1a6095-3dd388-72,10.0
31fb32-d7d59c-ce,10.0
853d83-9318ce-32,2.0
976118-42ee8a-f6,6.0
9b11b5-fd84b9-6b,4.0
a1a896-494645-f2,10.0
a3e1f0-566b71-c5,10.0
d44290-8f3cdc-01,10.0
efe576-5978b3-3a,1.0
ee1ed1-233cf5-0a,9.0
7d6cf6-ebb81d-32,1.0
7fae72-1872da-c0,1.0
9ab20d-3feb9d-82,9.0
9f0f10-9218b6-47,3.0
cfc138-53abf1-fe,4.0
003ac8-0efc4e-2f,9.0
05feb1-c7c890-af,10.0
0b2346-47908a-b7,7.0
1b210a-2435c7-a9,6.0
58a66e-bc58ce-ec,3.0
791ba8-5aa274-3a,8.0
92a5cc-aef83f-8d,8.0
ba278d-97f08d-79,6.0
bc3874-ed15a0-38,10.0
cf7b37-0d72c8-22,6.0
ff3b80-0307f2-be,3.0
09b6b2-b03245-76,4.0
141fdc-305d40-35,10.0
818b6a-a9ac5e-7c,6.0
e824d9-79a062-5b,6.0
fd5b5c-f7e9b5-fd,5.0
058e33-5258a5-fd,3.0
14998a-814110-84,7.0
1632fe-2b7e08-47,3.0
2570c3-528877-76,3.0
287587-a536b6-92,2.0
3adcc6-7966ad-91,2.0
3f68f9-1cf0e6-72,8.0
4bd403-684855-d3,5.0
55000d-78d84a-0b,8.0
65b373-55daea-a6,7.0
69b989-7f60ca-38,10.0
7f4fae-787035-8a,5.0
9103cc-1faafd-4e,10.0
921f13-145e69-56,2.0
92acb2-1f25a2-6a,2.0
934799-018a2f-93,8.0
94968b-af2b90-21,3.0
97048e-ee239f-fb,3.0
b3bd89-7da04f-e8,4.0
c8c193-25a082-69,3.0
d35870-ebf129-76,2.0
91ca8b-20baec-a2,10.0
0b50a1-c7cfd7-82,9.0
10858b-fc8543-e6,2.0
1f2dd8-b41656-3d,7.0
3b7b7f-22a6ef-88,2.0
3c491a-3bbe4b-59,8.0
c6f562-e42c40-14,7.0
cd87f8-111d69-d5,9.0
cff747-174604-2a,10.0
d2d99e-83031d-a3,10.0
d304e8-3ba4d7-c5,9.0
07a019-01ca44-a1,5.0
2cd9d5-da6688-08,4.0
3bfaae-2e65a5-93,10.0
46101a-86f51e-d0,10.0
4853c6-e8941c-0a,1.0
62526a-38e9b6-93,4.0
631734-c6dd1b-bd,10.0
8d473b-520b24-3d,4.0
a4a3a6-a63ecd-6a,10.0
b313ae-e81dfc-f9,7.0
ca60e1-bf143f-51,6.0
cb2b2d-912256-62,5.0
ce32f4-dbf1c4-a0,9.0
d223a1-140f28-e8,6.0
d603cd-305eaf-69,5.0
dbbef8-3ed7e6-b5,5.0
e1bd81-ade74f-e6,7.0
ef3c8f-538ead-31,7.0
f3094b-4b72ac-3c,4.0
f79ac8-7c6233-9f,3.0
fbe2ba-5f8eab-21,8.0
0ec491-20fe6b-d0,2.0
0f2f5e-c8e178-db,9.0
123a1a-2a31c8-a1,7.0
3372e0-993a9f-54,5.0
6facb1-748461-01,6.0
6e2d3d-f65eaa-4f,6.0
7595a3-c4503a-47,9.0
792b57-4e43c0-cd,8.0
7f950f-ab10df-57,6.0
89a788-3b9677-f3,3.0
a5987b-0dc13f-94,4.0
b0da10-512276-fb,2.0
b3ea91-dae8b5-33,6.0
e4ff6a-8095ac-3a,9.0
02bc35-6c731d-77,10.0
12586a-a1faa7-b5,4.0
127ee4-f4f08b-b5,6.0
230c42-18b349-86,4.0
3351f6-ea5f02-59,4.0
4227be-399cee-da,5.0
46b9e2-a21be8-e7,8.0
93c229-58ef11-36,6.0
a1ac90-07c9ce-ff,4.0
a3e911-55a010-dd,6.0
b805ea-26b29f-15,1.0
9646c4-ad5395-b2,3.0
cb9dd1-f33421-ce,7.0
f3aae2-5a4990-f0,2.0
f4354b-15ffa3-1f,10.0
ff8852-51bc58-f1,10.0
814810-e7af12-e1,7.0
493e5d-41dfc0-da,5.0
5f30ba-40b69c-e6,1.0
7b0e63-d58ad7-8c,1.0
a1e3a6-90a657-61,7.0
b15f4a-3e1ccd-c0,5.0
bde811-f374b8-12,7.0
c63769-903cf4-18,5.0
ccbbf2-72454c-a0,5.0
e3a231-ba07c9-68,7.0
f13d32-1814f2-77,1.0
0246a9-3c736f-77,6.0
088e2b-7801ee-c0,2.0
5812ca-2c5bdd-ba,7.0
88e4bb-42a696-21,6.0
936047-ffa5fb-ed,6.0
982bbb-b3e980-34,7.0
cde125-0ac782-b3,1.0
de3943-43921d-23,6.0
e01218-7c4ea7-78,3.0
fe9207-8ed4e9-98,7.0
08de03-74568d-14,1.0
82eb17-d32640-fb,9.0
62702d-0f2cb4-f6,7.0
7118c8-f02fe5-4c,10.0
72e350-3a8b30-83,1.0
024587-53f55d-3d,7.0
1951a2-70cac7-f3,6.0
39321f-ede49a-c5,6.0
678695-6f6bc6-44,7.0
76d736-14063c-1c,6.0
86ab2d-9ce3af-c3,4.0
8d3837-0ee3fa-79,9.0
a7a2be-4366d4-82,8.0
bd62e2-82a86e-49,6.0
