department,num_recipients
Arizona State University-Chemistry,3
Arizona State University-Computer Science,2
Arizona State University-Mathematics,4
Arizona State University-Mechanical Engineering,1
Arizona State University-Physics,5
Auburn University-Chemistry,2
Auburn University-Computer Science,2
Auburn University-Mathematics,5
Auburn University-Mechanical Engineering,2
Baylor University-Chemistry,2
Baylor University-Mathematics,4
Baylor University-Physics,2
Binghamton University-Computer Science,2
Binghamton University-Mathematics,9
Binghamton University-Mechanical Engineering,2
Boston College-Mathematics,4
Boston College-Physics,2
Boston University-Chemistry,3
Boston University-Computer Science,8
Boston University-Mathematics,6
Boston University-Mechanical Engineering,2
Boston University-Physics,3
Brandeis University-Computer Science,2
Brandeis University-Mathematics,5
Brandeis University-Physics,3
Brown University-Chemistry,2
Brown University-Computer Science,3
Brown University-Mathematics,10
Brown University-Mechanical Engineering,3
Brown University-Physics,2
California Institute of Technology-Chemistry,4
California Institute of Technology-Computer Science,2
California Institute of Technology-Mathematics,5
California Institute of Technology-Mechanical Engineering,2
California Institute of Technology-Physics,4
Carnegie Mellon University-Chemistry,2
Carnegie Mellon University-Computer Science,8
Carnegie Mellon University-Mathematics,5
Carnegie Mellon University-Mechanical Engineering,2
Case Western Reserve University-Chemistry,2
Case Western Reserve University-Computer Science,2
Case Western Reserve University-Mathematics,2
Case Western Reserve University-Physics,2
Clemson University-Chemistry,2
Clemson University-Computer Science,2
Clemson University-Mathematics,2
Clemson University-Mechanical Engineering,3
Clemson University-Physics,2
Colorado School of Mines-Chemistry,2
Colorado School of Mines-Computer Science,2
Colorado School of Mines-Mathematics,2
Colorado School of Mines-Mechanical Engineering,2
Colorado School of Mines-Physics,2
Colorado State University-Chemistry,2
Colorado State University-Computer Science,2
Colorado State University-Mathematics,8
Colorado State University-Physics,2
Columbia University-Chemistry,2
Columbia University-Computer Science,3
Columbia University-Mathematics,17
Columbia University-Mechanical Engineering,2
Columbia University-Physics,5
Cornell University-Chemistry,2
Cornell University-Computer Science,8
Cornell University-Mathematics,10
Cornell University-Mechanical Engineering,2
Cornell University-Physics,5
Dartmouth College-Chemistry,2
Dartmouth College-Mathematics,8
Dartmouth College-Physics,2
Drexel University-Mathematics,2
Drexel University-Mechanical Engineering,2
Duke University-Chemistry,3
Duke University-Computer Science,4
Duke University-Mathematics,2
Duke University-Mechanical Engineering,2
Emory University-Chemistry,2
Emory University-Mathematics,6
Emory University-Physics,2
Florida International University-Chemistry,2
Florida International University-Mathematics,4
Florida International University-Physics,2
Florida State University-Chemistry,3
Florida State University-Computer Science,2
Florida State University-Mathematics,6
Florida State University-Mechanical Engineering,2
Florida State University-Physics,2
George Mason University-Chemistry,2
George Mason University-Computer Science,2
George Mason University-Mathematics,5
George Mason University-Mechanical Engineering,2
George Mason University-Physics,2
George Washington University-Chemistry,2
George Washington University-Mathematics,2
George Washington University-Physics,2
Georgetown University-Chemistry,2
Georgetown University-Mathematics,2
Georgetown University-Physics,2
Georgia Institute of Technology-Chemistry,2
Georgia Institute of Technology-Computer Science,2
Georgia Institute of Technology-Mechanical Engineering,2
Georgia Institute of Technology-Physics,2
Georgia State University-Chemistry,2
Georgia State University-Physics,2
"Graduate Center, CUNY-Mathematics",22
"Graduate Center, CUNY-Mechanical Engineering",2
Harvard University-Chemistry,2
Harvard University-Computer Science,4
Harvard University-Mechanical Engineering,2
Harvard University-Physics,5
Indiana University Bloomington-Chemistry,2
Indiana University Bloomington-Mathematics,4
Indiana University Bloomington-Physics,3
Iowa State University-Chemistry,2
Iowa State University-Computer Science,2
Iowa State University-Mathematics,8
Iowa State University-Mechanical Engineering,2
Iowa State University-Physics,2
Johns Hopkins University-Chemistry,2
Johns Hopkins University-Computer Science,2
Johns Hopkins University-Mathematics,6
Johns Hopkins University-Mechanical Engineering,3
Johns Hopkins University-Physics,3
Kansas State University-Chemistry,2
Kansas State University-Mathematics,5
Kansas State University-Physics,3
Kent State University-Chemistry,2
Kent State University-Mathematics,4
Kent State University-Physics,3
Louisiana State University-Chemistry,2
Louisiana State University-Computer Science,2
Louisiana State University-Mathematics,2
Louisiana State University-Physics,2
Massachusetts Institute of Technology-Chemistry,5
Massachusetts Institute of Technology-Computer Science,5
Massachusetts Institute of Technology-Mathematics,16
Massachusetts Institute of Technology-Mechanical Engineering,3
Massachusetts Institute of Technology-Physics,7
Michigan State University-Chemistry,3
Michigan State University-Computer Science,2
Michigan State University-Mathematics,2
Michigan State University-Physics,4
Mississippi State University-Chemistry,2
Mississippi State University-Computer Science,2
Mississippi State University-Mathematics,2
Mississippi State University-Physics,2
Montana State University-Chemistry,2
Montana State University-Computer Science,2
Montana State University-Mathematics,2
Montana State University-Physics,2
New Jersey Institute of Technology-Computer Science,2
New Jersey Institute of Technology-Mathematics,3
New Jersey Institute of Technology-Physics,3
New York University-Chemistry,3
New York University-Computer Science,4
New York University-Mathematics,10
New York University-Physics,2
North Carolina State University-Chemistry,6
North Carolina State University-Computer Science,2
North Carolina State University-Mathematics,3
North Carolina State University-Mechanical Engineering,2
North Carolina State University-Physics,2
North Dakota State University-Computer Science,2
North Dakota State University-Mathematics,5
North Dakota State University-Physics,2
Northeastern University-Chemistry,2
Northeastern University-Computer Science,3
Northeastern University-Mathematics,4
Northeastern University-Physics,2
Northwestern University-Computer Science,2
Northwestern University-Mathematics,2
Ohio State University-Chemistry,2
Ohio State University-Mathematics,16
Ohio State University-Physics,6
Ohio University-Chemistry,2
Ohio University-Mathematics,2
Ohio University-Physics,3
Oklahoma State University-Stillwater-Chemistry,1
Oklahoma State University-Stillwater-Mathematics,1
Oklahoma State University-Stillwater-Physics,2
Old Dominion University-Chemistry,1
Old Dominion University-Computer Science,2
Old Dominion University-Mathematics,2
Old Dominion University-Physics,2
Oregon State University-Chemistry,2
Oregon State University-Computer Science,1
Oregon State University-Mathematics,1
Oregon State University-Mechanical Engineering,1
Oregon State University-Physics,1
Pennsylvania State University-Chemistry,1
Pennsylvania State University-Mathematics,1
