department,contact_type,is_female,is_black,is_hispanic,is_urm
Baylor University-Mathematics,faculty,0.0,0.0,0.0,0.0
Colorado School of Mines-Physics,seminar_contact,1.0,0.0,0.0,0.0
University of Houston-Computer Science,department_chair,0.0,0.0,0.0,0.0
University of Utah-Mathematics,faculty,0.0,0.0,0.0,0.0
Johns Hopkins University-Mechanical Engineering,seminar_contact,1.0,0.0,0.0,0.0
Dartmouth College-Mathematics,faculty,0.0,0.0,0.0,0.0
Kent State University-Mathematics,seminar_contact,1.0,0.0,0.0,0.0
Rice University-Physics,department_chair,0.0,0.0,0.0,0.0
Columbia University-Physics,faculty,0.0,0.0,0.0,0.0
Baylor University-Mathematics,department_chair,1.0,0.0,0.0,0.0
University of South Florida-Mechanical Engineering,department_chair,1.0,0.0,1.0,1.0
University of Virginia-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Colorado Boulder-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Iowa-Computer Science,seminar_contact,,,,
University of Pittsburgh-Computer Science,seminar_contact,1.0,0.0,0.0,0.0
Kent State University-Physics,seminar_contact,1.0,0.0,0.0,0.0
University of Washington-Physics,seminar_contact,,,,
New York University-Mathematics,faculty,1.0,0.0,1.0,1.0
Carnegie Mellon University-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Michigan-Physics,faculty,0.0,0.0,0.0,0.0
Baylor University-Mathematics,seminar_contact,0.0,0.0,0.0,0.0
University of Louisiana at Lafayette-Mathematics,department_chair,0.0,0.0,0.0,0.0
Texas A&M University-Mathematics,faculty,0.0,0.0,0.0,0.0
"University at Albany, SUNY-Mathematics",department_chair,0.0,0.0,0.0,0.0
Auburn University-Computer Science,seminar_contact,1.0,1.0,0.0,1.0
North Carolina State University-Mathematics,department_chair,1.0,0.0,0.0,0.0
Rensselaer Polytechnic Institute-Computer Science,department_chair,0.0,0.0,0.0,0.0
University of Cincinnati-Mathematics,seminar_contact,0.0,0.0,0.0,0.0
University of Utah-Mathematics,department_chair,0.0,0.0,0.0,0.0
Michigan State University-Computer Science,seminar_contact,1.0,0.0,0.0,0.0
University of Pennsylvania-Mathematics,seminar_contact,1.0,1.0,0.0,1.0
Arizona State University-Chemistry,seminar_contact,1.0,0.0,0.0,0.0
Georgia Institute of Technology-Computer Science,department_chair,0.0,0.0,0.0,0.0
"Graduate Center, CUNY-Mathematics",faculty,0.0,0.0,0.0,0.0
University of Colorado Boulder-Mathematics,seminar_contact,1.0,0.0,0.0,0.0
University of Missouri-Chemistry,seminar_contact,1.0,0.0,0.0,0.0
Virginia Tech-Physics,faculty,1.0,0.0,0.0,0.0
University of Hawaii at Manoa-Physics,department_chair,1.0,0.0,0.0,0.0
University of Michigan-Computer Science,seminar_contact,1.0,0.0,0.0,0.0
University of Minnesota-Mathematics,faculty,0.0,0.0,0.0,0.0
Princeton University-Mathematics,seminar_contact,,,,
Drexel University-Mathematics,department_chair,0.0,0.0,0.0,0.0
"University of California, Davis-Physics",department_chair,0.0,0.0,0.0,0.0
Stanford University-Mathematics,faculty,0.0,0.0,0.0,0.0
"University of California, San Diego-Mathematics",faculty,0.0,0.0,0.0,0.0
Wayne State University-Chemistry,faculty,0.0,0.0,0.0,0.0
Colorado School of Mines-Chemistry,seminar_contact,1.0,0.0,0.0,0.0
"University of Maryland, College Park-Mathematics",faculty,0.0,0.0,0.0,0.0
New Jersey Institute of Technology-Physics,department_chair,0.0,0.0,0.0,0.0
"Graduate Center, CUNY-Mechanical Engineering",department_chair,0.0,0.0,0.0,0.0
"University of California, Riverside-Chemistry",faculty,0.0,0.0,0.0,0.0
Harvard University-Chemistry,department_chair,0.0,0.0,0.0,0.0
University of Virginia-Mathematics,faculty,0.0,0.0,0.0,0.0
University of North Carolina at Chapel Hill-Chemistry,department_chair,0.0,0.0,0.0,0.0
University of Southern California-Physics,seminar_contact,1.0,0.0,0.0,0.0
University of Connecticut-Mathematics,seminar_contact,0.0,0.0,0.0,0.0
Clemson University-Chemistry,seminar_contact,1.0,0.0,0.0,0.0
Case Western Reserve University-Chemistry,seminar_contact,0.0,0.0,0.0,0.0
North Carolina State University-Mathematics,faculty,1.0,0.0,0.0,0.0
Texas Tech University-Mathematics,seminar_contact,1.0,0.0,0.0,0.0
Ohio University-Chemistry,seminar_contact,,,,
Massachusetts Institute of Technology-Mathematics,faculty,1.0,0.0,0.0,0.0
Temple University-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Houston-Mathematics,department_chair,0.0,0.0,0.0,0.0
Florida State University-Chemistry,department_chair,0.0,0.0,0.0,0.0
Stony Brook University-Physics,faculty,0.0,0.0,0.0,0.0
University of Notre Dame-Mathematics,faculty,0.0,0.0,0.0,0.0
Brown University-Mathematics,faculty,0.0,0.0,0.0,0.0
University at Buffalo-Mathematics,seminar_contact,1.0,0.0,0.0,0.0
Johns Hopkins University-Physics,department_chair,0.0,0.0,0.0,0.0
Texas Tech University-Computer Science,department_chair,0.0,0.0,0.0,0.0
Mississippi State University-Chemistry,seminar_contact,1.0,1.0,0.0,1.0
Michigan State University-Chemistry,seminar_contact,0.0,0.0,0.0,0.0
University of Utah-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Virginia-Mathematics,faculty,1.0,0.0,0.0,0.0
University of Missouri-Chemistry,department_chair,0.0,0.0,0.0,0.0
Florida State University-Chemistry,faculty,0.0,0.0,0.0,0.0
University of Texas at Austin-Physics,faculty,1.0,0.0,1.0,1.0
University of Chicago-Mathematics,seminar_contact,1.0,0.0,0.0,0.0
Iowa State University-Chemistry,seminar_contact,1.0,0.0,0.0,0.0
Wayne State University-Chemistry,faculty,1.0,0.0,0.0,0.0
"Graduate Center, CUNY-Mathematics",department_chair,0.0,0.0,0.0,0.0
Massachusetts Institute of Technology-Mathematics,faculty,0.0,0.0,0.0,0.0
Kansas State University-Physics,faculty,0.0,0.0,0.0,0.0
Brown University-Computer Science,department_chair,0.0,0.0,1.0,1.0
University of Tennessee-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Cincinnati-Chemistry,department_chair,0.0,0.0,0.0,0.0
Iowa State University-Chemistry,department_chair,1.0,0.0,0.0,0.0
Texas A&M University-Mathematics,faculty,1.0,0.0,0.0,0.0
Purdue University-Physics,department_chair,0.0,0.0,0.0,0.0
Case Western Reserve University-Physics,department_chair,0.0,0.0,0.0,0.0
New York University-Mathematics,seminar_contact,1.0,0.0,0.0,0.0
University of Connecticut-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Southern Mississippi-Mechanical Engineering,department_chair,0.0,0.0,0.0,0.0
University of Notre Dame-Mathematics,department_chair,0.0,0.0,0.0,0.0
Colorado School of Mines-Physics,department_chair,0.0,0.0,0.0,0.0
Stony Brook University-Physics,seminar_contact,1.0,0.0,0.0,0.0
Oregon State University-Physics,department_chair,0.0,0.0,0.0,0.0
University of Florida-Mathematics,faculty,1.0,0.0,0.0,0.0
New York University-Mathematics,department_chair,0.0,0.0,0.0,0.0
University of Colorado Boulder-Mathematics,faculty,1.0,0.0,0.0,0.0
Wayne State University-Physics,department_chair,0.0,0.0,0.0,0.0
University of Michigan-Computer Science,faculty,1.0,0.0,0.0,0.0
Colorado State University-Chemistry,department_chair,0.0,0.0,0.0,0.0
University of Chicago-Physics,seminar_contact,1.0,0.0,0.0,0.0
Cornell University-Physics,seminar_contact,0.0,0.0,0.0,0.0
University of Texas at Arlington-Chemistry,department_chair,1.0,0.0,0.0,0.0
Ohio University-Chemistry,department_chair,0.0,0.0,0.0,0.0
University of Denver-Physics,seminar_contact,1.0,0.0,0.0,0.0
University of Memphis-Physics,department_chair,1.0,0.0,0.0,0.0
University of Colorado Denver-Mathematics,seminar_contact,1.0,0.0,0.0,0.0
Duke University-Mathematics,department_chair,0.0,0.0,0.0,0.0
University of Utah-Mathematics,faculty,0.0,0.0,0.0,0.0
Stony Brook University-Physics,seminar_contact,0.0,0.0,1.0,1.0
Massachusetts Institute of Technology-Mathematics,faculty,0.0,0.0,0.0,0.0
Boston University-Mathematics,faculty,1.0,0.0,0.0,0.0
Kent State University-Mathematics,faculty,0.0,0.0,0.0,0.0
Texas A&M University-Mechanical Engineering,department_chair,0.0,0.0,1.0,1.0
California Institute of Technology-Physics,seminar_contact,1.0,0.0,0.0,0.0
Colorado State University-Computer Science,faculty,0.0,0.0,0.0,0.0
North Carolina State University-Mechanical Engineering,department_chair,0.0,0.0,0.0,0.0
University of Texas at El Paso-Mathematics,faculty,0.0,0.0,0.0,0.0
Cornell University-Mathematics,department_chair,1.0,0.0,0.0,0.0
Florida State University-Computer Science,department_chair,0.0,0.0,0.0,0.0
University of Florida-Mathematics,faculty,0.0,0.0,0.0,0.0
Columbia University-Mathematics,faculty,1.0,0.0,0.0,0.0
Boston University-Mathematics,faculty,0.0,0.0,0.0,0.0
California Institute of Technology-Computer Science,seminar_contact,1.0,0.0,0.0,0.0
New York University-Physics,department_chair,0.0,0.0,0.0,0.0
Cornell University-Computer Science,faculty,0.0,0.0,0.0,0.0
Colorado State University-Physics,seminar_contact,1.0,0.0,0.0,0.0
University of Miami-Physics,department_chair,0.0,0.0,0.0,0.0
Boston University-Mathematics,faculty,1.0,0.0,0.0,0.0
University of Oregon-Computer Science,seminar_contact,0.0,0.0,0.0,0.0
George Mason University-Mechanical Engineering,seminar_contact,0.0,0.0,0.0,0.0
Utah State University-Physics,department_chair,0.0,0.0,0.0,0.0
Columbia University-Mathematics,seminar_contact,1.0,1.0,0.0,1.0
University of Texas at Arlington-Mathematics,seminar_contact,1.0,1.0,0.0,1.0
"University of California, Irvine-Computer Science",seminar_contact,1.0,0.0,0.0,0.0
University of Memphis-Mathematics,department_chair,1.0,0.0,0.0,0.0
Harvard University-Chemistry,seminar_contact,1.0,0.0,1.0,1.0
Carnegie Mellon University-Chemistry,seminar_contact,1.0,0.0,0.0,0.0
University of Arizona-Physics,department_chair,1.0,0.0,0.0,0.0
Northeastern University-Physics,department_chair,0.0,0.0,0.0,0.0
"University of California, Santa Barbara-Mechanical Engineering",department_chair,0.0,0.0,0.0,0.0
Auburn University-Mathematics,faculty,0.0,0.0,0.0,0.0
Temple University-Mathematics,faculty,0.0,0.0,0.0,0.0
Columbia University-Mathematics,faculty,0.0,1.0,0.0,1.0
Rutgers University-New Brunswick-Physics,seminar_contact,0.0,0.0,0.0,0.0
Tulane University-Mathematics,seminar_contact,0.0,0.0,0.0,0.0
University of Tennessee-Computer Science,seminar_contact,,,,
University at Buffalo-Mechanical Engineering,seminar_contact,0.0,0.0,0.0,0.0
University of Colorado Boulder-Physics,department_chair,0.0,0.0,0.0,0.0
Brandeis University-Computer Science,seminar_contact,0.0,0.0,0.0,0.0
University of North Texas-Chemistry,department_chair,0.0,1.0,0.0,1.0
University of Rochester-Mechanical Engineering,department_chair,0.0,0.0,0.0,0.0
Rice University-Computer Science,seminar_contact,1.0,1.0,0.0,1.0
University of Michigan-Mathematics,faculty,1.0,0.0,0.0,0.0
Virginia Tech-Physics,faculty,0.0,0.0,0.0,0.0
University of Denver-Mathematics,faculty,1.0,0.0,0.0,0.0
Wayne State University-Mechanical Engineering,department_chair,0.0,0.0,0.0,0.0
Montana State University-Chemistry,seminar_contact,1.0,1.0,0.0,1.0
Florida International University-Mathematics,faculty,1.0,0.0,0.0,0.0
Boston University-Computer Science,seminar_contact,1.0,0.0,0.0,0.0
Texas A&M University-Chemistry,department_chair,0.0,0.0,0.0,0.0
University of Florida-Mathematics,faculty,0.0,0.0,0.0,0.0
University of Arizona-Mechanical Engineering,department_chair,0.0,0.0,0.0,0.0
Mississippi State University-Mathematics,seminar_contact,1.0,0.0,0.0,0.0
University of Louisville-Mathematics,faculty,0.0,0.0,0.0,0.0
Iowa State University-Mathematics,faculty,0.0,0.0,0.0,0.0
