seminar_id,combined_race,combined_gender,has_demographics,phd_graduation_year,date,rank,name,affiliation,speaker_id
039b0a-0cb93e-f6,white,man,True,2011.0,1/13/2025,professor,Richard Hahn,Arizona State University,2270013f011b
039b0a-0cb93e-f6,asian,man,True,2007.0,1/27/2025,professor,Byung-Jun Yoon,Texas A&M University,11984a9634af
039b0a-0cb93e-f6,asian,man,True,2015.0,2/3/2025,assistant professor,Xin Yee,University of Colorado Colorado Springs,0fb6eb568ad1
039b0a-0cb93e-f6,white,woman,True,2016.0,2/10/2025,non-academic,Kathryn Maupin,ORG: Sandia National Laboratories,b502695fba05
039b0a-0cb93e-f6,asian,woman,True,2019.0,2/24/2025,assistant professor,Jocelyn Chi,University of Colorado Boulder,8cc4788d2eb8
039b0a-0cb93e-f6,asian,man,True,2023.0,3/3/2025,assistant professor,Hyukpyo Hong,University of Wisconsin-Madison,b3fd1033f2c2
039b0a-0cb93e-f6,white,woman,True,2021.0,3/17/2025,assistant professor,Lara Kassab,"University of California, Los Angeles",0f536006dc7a
039b0a-0cb93e-f6,white,man,True,2022.0,3/24/2025,post-doc,Ricardo Baptista,ORG: Amazon,d472d0fd01aa
039b0a-0cb93e-f6,asian,man,True,2022.0,3/31/2025,assistant professor,Ray Zirui Zhang,"University of California, Irvine",795b95eafd27
039b0a-0cb93e-f6,white,man,True,,4/7/2025,assistant professor,Christopher Miles,"University of California, Irvine",aca97cfa2445
039b0a-0cb93e-f6,asian,man,True,1998.0,4/10/2025,professor,Changpin Li,Shanghai University,40e426839ea2
039b0a-0cb93e-f6,latino,woman,True,0.0,4/14/2025,graduate student,Victoria Uribe,Arizona State University,496615b97604
1cde7d-db239d-c7,white,man,True,2013.0,8/23/2024,non-academic,George Zahariade,Jagiellonian University,9891a8f7f3c3
1cde7d-db239d-c7,white,man,True,0.0,8/30/2024,graduate student,Giovanni Ferrami,University of Melbourne,b3e33966d9a0
1cde7d-db239d-c7,asian,man,True,0.0,9/27/2024,graduate student,Sang-Eon Bak,Arizona State University,f0cf129c3a8c
1cde7d-db239d-c7,asian,man,True,2009.0,10/4/2024,assistant professor,Cliff Cheung,California Institute of Technology,f48f7111b63f
1cde7d-db239d-c7,white,man,True,2022.0,10/11/2024,post-doc,Tucker Manton,Brown University,853fa4bb76ff
1cde7d-db239d-c7,asian,man,True,,11/8/2024,non-academic,Nikhil Garuda,University of Arizona,b007d247afcd
1cde7d-db239d-c7,white,man,True,,11/15/2024,professor,Joseph C. Shields,University of Arizona,5f7abc048a9b
1cde7d-db239d-c7,white,man,True,,11/22/2024,non-academic,Keaten Wood,Arizona State University,69726305a47f
1cde7d-db239d-c7,white,man,True,2022.0,2/14/2025,post-doc,Garv Chauhan,Arizona State University,82b7cbd0fc77
1cde7d-db239d-c7,white,man,True,2019.0,2/21/2025,post-doc,Nicolas Fernandez,Rutgers University,195ea4afa5ad
1cde7d-db239d-c7,asian,woman,True,2015.0,3/7/2025,assistant professor,Kimberly Boddy,University of Texas at Austin,781f355eb779
1cde7d-db239d-c7,white,woman,True,2018.0,2025-03-21,post-doc,Evita Verheijden,Harvard University,d42cdb3c7d98
1cde7d-db239d-c7,white,woman,True,0.0,4/4/2025,non-academic,Tzvetelina Dimitrova,Arizona State University,4191806dcff9
21b611-c02b39-a4,white,man,True,2009.0,8/22/2024 0:00,assistant professor,Matthew Baumgart,Arizona State University,6784441f7b7d
21b611-c02b39-a4,asian,man,True,2014.0,8/29/2024 0:00,assistant professor,Arunima Singh,Arizona State University,0b1119d500e0
21b611-c02b39-a4,white,man,True,2013.0,9/5/2024 0:00,assistant professor,Onur Erten,Arizona State University,b05436a7092e
21b611-c02b39-a4,white,woman,True,1989.0,9/12/2024 0:00,professor,Lois Pollack,Cornell University,90050ca53fa7
21b611-c02b39-a4,white,man,True,2003.0,9/19/2024 0:00,professor,Brian LeRoy,University of Arizona,f300731b01fc
21b611-c02b39-a4,asian,man,True,1986.0,9/26/2024 0:00,professor,Bharat Ratra,Kansas State University,3531fdb2f523
21b611-c02b39-a4,asian,man,True,2009.0,10/3/2024 0:00,post-doc,Clifford Cheung,California Institute of Technology,817d44d16a68
21b611-c02b39-a4,white,woman,True,2010.0,10/10/2024 0:00,associate professor,Laura Newburgh,Yale University,6fea9c5a609e
