department,bin_category,condition
Arizona State University-Computer Science,"[0,1]",treatment
Arizona State University-Mechanical Engineering,"[0,1]",treatment
Auburn University-Chemistry,"[0,1]",treatment
Auburn University-Computer Science,"[0,1]",control
Auburn University-Mechanical Engineering,"[0,1]",control
Baylor University-Chemistry,"[0,1]",control
Baylor University-Physics,"[0,1]",control
Binghamton University-Mechanical Engineering,"[0,1]",control
Boston College-Physics,"[0,1]",treatment
California Institute of Technology-Computer Science,"[0,1]",control
California Institute of Technology-Mechanical Engineering,"[0,1]",treatment
Carnegie Mellon University-Chemistry,"[0,1]",control
Carnegie Mellon University-Mechanical Engineering,"[0,1]",control
Case Western Reserve University-Chemistry,"[0,1]",control
Clemson University-Chemistry,"[0,1]",control
Clemson University-Computer Science,"[0,1]",control
Colorado School of Mines-Chemistry,"[0,1]",control
Colorado School of Mines-Computer Science,"[0,1]",control
Colorado School of Mines-Mathematics,"[0,1]",control
Colorado School of Mines-Mechanical Engineering,"[0,1]",control
Colorado School of Mines-Physics,"[0,1]",control
Colorado State University-Computer Science,"[0,1]",control
Colorado State University-Physics,"[0,1]",control
Columbia University-Mechanical Engineering,"[0,1]",treatment
Cornell University-Chemistry,"[0,1]",control
Cornell University-Mechanical Engineering,"[0,1]",control
Dartmouth College-Chemistry,"[0,1]",treatment
Dartmouth College-Physics,"[0,1]",control
Drexel University-Mathematics,"[0,1]",control
Drexel University-Mechanical Engineering,"[0,1]",treatment
Duke University-Mechanical Engineering,"[0,1]",control
Emory University-Physics,"[0,1]",control
Florida International University-Chemistry,"[0,1]",treatment
Florida International University-Physics,"[0,1]",treatment
Florida State University-Computer Science,"[0,1]",treatment
Florida State University-Mechanical Engineering,"[0,1]",treatment
George Mason University-Chemistry,"[0,1]",treatment
George Mason University-Computer Science,"[0,1]",control
George Mason University-Mechanical Engineering,"[0,1]",treatment
George Mason University-Physics,"[0,1]",control
George Washington University-Chemistry,"[0,1]",treatment
George Washington University-Physics,"[0,1]",treatment
Georgetown University-Chemistry,"[0,1]",control
Georgetown University-Mathematics,"[0,1]",control
Georgetown University-Physics,"[0,1]",control
Georgia State University-Chemistry,"[0,1]",control
Georgia State University-Physics,"[0,1]",control
"Graduate Center, CUNY-Mechanical Engineering","[0,1]",treatment
Harvard University-Mechanical Engineering,"[0,1]",control
Iowa State University-Computer Science,"[0,1]",control
Iowa State University-Mechanical Engineering,"[0,1]",control
Iowa State University-Physics,"[0,1]",treatment
Johns Hopkins University-Computer Science,"[0,1]",control
Kansas State University-Chemistry,"[0,1]",treatment
Kent State University-Chemistry,"[0,1]",treatment
Louisiana State University-Computer Science,"[0,1]",control
Louisiana State University-Physics,"[0,1]",control
Mississippi State University-Chemistry,"[0,1]",treatment
Mississippi State University-Computer Science,"[0,1]",control
Mississippi State University-Mathematics,"[0,1]",treatment
Mississippi State University-Physics,"[0,1]",treatment
Montana State University-Chemistry,"[0,1]",treatment
Montana State University-Computer Science,"[0,1]",control
Montana State University-Physics,"[0,1]",control
New Jersey Institute of Technology-Computer Science,"[0,1]",control
North Carolina State University-Mechanical Engineering,"[0,1]",control
North Dakota State University-Computer Science,"[0,1]",control
North Dakota State University-Physics,"[0,1]",treatment
Northeastern University-Chemistry,"[0,1]",control
Ohio University-Chemistry,"[0,1]",control
Ohio University-Mathematics,"[0,1]",treatment
Oklahoma State University-Stillwater-Chemistry,"[0,1]",treatment
Oklahoma State University-Stillwater-Physics,"[0,1]",control
Old Dominion University-Chemistry,"[0,1]",treatment
Old Dominion University-Computer Science,"[0,1]",control
Old Dominion University-Mathematics,"[0,1]",control
Oregon State University-Chemistry,"[0,1]",control
Pennsylvania State University-Chemistry,"[0,1]",treatment
Pennsylvania State University-Mechanical Engineering,"[0,1]",control
Princeton University-Computer Science,"[0,1]",treatment
Purdue University-Mechanical Engineering,"[0,1]",treatment
Rensselaer Polytechnic Institute-Chemistry,"[0,1]",treatment
Rensselaer Polytechnic Institute-Computer Science,"[0,1]",control
Rensselaer Polytechnic Institute-Mathematics,"[0,1]",treatment
Rensselaer Polytechnic Institute-Mechanical Engineering,"[0,1]",treatment
Rensselaer Polytechnic Institute-Physics,"[0,1]",control
Rice University-Chemistry,"[0,1]",treatment
Rice University-Mechanical Engineering,"[0,1]",treatment
Rice University-Physics,"[0,1]",treatment
Rutgers University-New Brunswick-Mechanical Engineering,"[0,1]",treatment
Stanford University-Physics,"[0,1]",control
Syracuse University-Chemistry,"[0,1]",treatment
Temple University-Chemistry,"[0,1]",treatment
Texas A&M University-Chemistry,"[0,1]",treatment
Texas A&M University-Computer Science,"[0,1]",control
Texas A&M University-Physics,"[0,1]",treatment
Texas Tech University-Chemistry,"[0,1]",treatment
Texas Tech University-Computer Science,"[0,1]",treatment
Texas Tech University-Mechanical Engineering,"[0,1]",treatment
Texas Tech University-Physics,"[0,1]",treatment
Tufts University-Chemistry,"[0,1]",treatment
Tufts University-Computer Science,"[0,1]",control
Tufts University-Mechanical Engineering,"[0,1]",control
Tulane University-Chemistry,"[0,1]",control
Tulane University-Physics,"[0,1]",treatment
"University at Albany, SUNY-Chemistry","[0,1]",treatment
University at Buffalo-Mechanical Engineering,"[0,1]",control
University of Alabama at Birmingham-Chemistry,"[0,1]",treatment
University of Alabama at Birmingham-Mathematics,"[0,1]",control
University of Alabama in Huntsville-Mathematics,"[0,1]",control
University of Alabama in Huntsville-Physics,"[0,1]",control
University of Alabama-Chemistry,"[0,1]",treatment
University of Alabama-Computer Science,"[0,1]",control
University of Alabama-Mechanical Engineering,"[0,1]",treatment
University of Alabama-Physics,"[0,1]",control
University of Arizona-Computer Science,"[0,1]",treatment
University of Arizona-Mechanical Engineering,"[0,1]",control
University of Arkansas-Chemistry,"[0,1]",treatment
"University of California, Berkeley-Computer Science","[0,1]",control
"University of California, Berkeley-Mechanical Engineering","[0,1]",control
"University of California, Davis-Chemistry","[0,1]",treatment
"University of California, Irvine-Chemistry","[0,1]",control
"University of California, Irvine-Mechanical Engineering","[0,1]",control
"University of California, Los Angeles-Computer Science","[0,1]",treatment
"University of California, Riverside-Mechanical Engineering","[0,1]",control
"University of California, Santa Barbara-Mechanical Engineering","[0,1]",treatment
"University of California, Santa Cruz-Chemistry","[0,1]",treatment
University of Central Florida-Chemistry,"[0,1]",treatment
University of Central Florida-Physics,"[0,1]",treatment
University of Chicago-Computer Science,"[0,1]",treatment
University of Cincinnati-Chemistry,"[0,1]",control
University of Cincinnati-Mechanical Engineering,"[0,1]",control
University of Connecticut-Chemistry,"[0,1]",treatment
University of Connecticut-Mechanical Engineering,"[0,1]",treatment
University of Delaware-Computer Science,"[0,1]",treatment
University of Delaware-Mechanical Engineering,"[0,1]",control
University of Denver-Chemistry,"[0,1]",control
University of Denver-Physics,"[0,1]",treatment
University of Florida-Chemistry,"[0,1]",control
University of Florida-Computer Science,"[0,1]",treatment
University of Florida-Mechanical Engineering,"[0,1]",treatment
University of Georgia-Computer Science,"[0,1]",control
University of Georgia-Physics,"[0,1]",control
University of Hawaii at Manoa-Chemistry,"[0,1]",control
University of Hawaii at Manoa-Mechanical Engineering,"[0,1]",treatment
University of Hawaii at Manoa-Physics,"[0,1]",control
University of Houston-Chemistry,"[0,1]",treatment
University of Houston-Computer Science,"[0,1]",treatment
University of Houston-Mechanical Engineering,"[0,1]",control
University of Houston-Physics,"[0,1]",control
University of Illinois Chicago-Chemistry,"[0,1]",treatment
University of Illinois Chicago-Computer Science,"[0,1]",control
University of Illinois Chicago-Mathematics,"[0,1]",control
University of Illinois Chicago-Mechanical Engineering,"[0,1]",treatment
University of Illinois Urbana-Champaign-Computer Science,"[0,1]",treatment
University of Illinois Urbana-Champaign-Mathematics,"[0,1]",treatment
University of Illinois Urbana-Champaign-Mechanical Engineering,"[0,1]",treatment
University of Iowa-Computer Science,"[0,1]",control
University of Iowa-Physics,"[0,1]",control
University of Kentucky-Chemistry,"[0,1]",treatment
University of Kentucky-Computer Science,"[0,1]",treatment
University of Kentucky-Mechanical Engineering,"[0,1]",treatment
University of Louisiana at Lafayette-Chemistry,"[0,1]",control
University of Louisiana at Lafayette-Computer Science,"[0,1]",treatment
University of Louisiana at Lafayette-Mechanical Engineering,"[0,1]",control
